desc_translation,sentiment
"dedicated to occupational health, knowledge transfer, research",Neutral
"#Hindoestanen in Nederland⭐ # # # Suriname⭐ India⭐ 200,000 on- to visible. 1667⭐ 1873⭐1975⭐. Search and you will find! Tweets from # DenHaag⭐",Neutral
WWG1WGA🇳🇱,Neutral
🧡 she / her 🖤 never go in search of love • • go in search of life and life will find you the love you seek 🖤 @AtticusPoetry 🧡,Positive
"Progressive social libertarian minded in pursuit of a better mankind. Healthcare, MRI tech. Crypto enthusiast.",Positive
"Economist interested in climate, energy, environment (and Trump and United Kingdom and Gibraltar European Union membership referendum). EBS19 (E4 B3 S12), K7.36, H105.",Positive
International lawyer / Writer / America-watcher / US Constitutional Law / back in Amsterdam / RTs not Necessarily my opinion,Neutral
"At times crazy, something with a soldier, Bruce Springsteen fan, CPTSS. Bakster apple pies and bread, likes pictures.",Negative
Against aircraft noise. Download the free app via https://t.co/Yiy0DLHWic. Mail relevant information to info@schipholwatch.nl. https://t.co/jbvAfxcnWt,Positive
,Neutral
,Neutral
,Neutral
"My name is Gretchen, I'm married, mother of three children and grandmother of three grandchildren. I love traveling, gardening and cooking.",Positive
Empires do not have friends ... theyhave subjects. Maintaining the petrodollar system is the American empire's primary goal. Everything else is secondary.,Positive
,Neutral
"Frequent flyer, aviation professionals and enthusiasts; all you need to know, you'll find it on Up in the Sky - aviation news & more",Positive
PhD chemist etc.,Neutral
"Reet know mostly everything he fun, interesting or otherwise worth a look",Positive
Born in IJmuiden on 7 January 1970. Widow of Carlo Mekenkamp. Three children.,Neutral
,Neutral
"I teach problem-driven self-defense for women, notably for former victims of (childhood) sexual assault.",Positive
"I teach problem-driven self-defense for women, notably for former victims of (childhood) sexual assault.",Positive
Working on the future | Care for one another and our environment | Alderman Bronckhorst | VNG | 8HRK | Arnhem Surface Talk | GroenLinks,Neutral
Donar Groningen fan of basketball.,Neutral
Handicraft me a blow in the round #kaarsenatelier #WLC #Dimence #Almelo #Gallavich #Sharpwin #ProThorium #Pleegmoeder of # 10jr with ASD / PTSD # / # ADHD,Negative
I also want to retire before I'm 80 Mr. Rutte.,Neutral
"""Have no fear of perfection, you'll never reach it.""
- Salvador Dali",Neutral
"""Have no fear of perfection, you'll never reach it.""
- Salvador Dali",Neutral
"Irish. Equity Analyst by day. Interested in socio-economics, infrastructure development, sports .............",Positive
"Irish. Equity Analyst by day. Interested in socio-economics, infrastructure development, sports .............",Positive
A 90's dutch nerd who likes to play and record simulator games. Check it out on youtube!,Neutral
Vintage Goodies to inspire kids. Buy may marketplace vintagekidsgoodies@outlook.com,Neutral
"Have your ❤ in the right place, but do not be a naive idealist, be a realist.",Negative
"Have your ❤ in the right place, but do not be a naive idealist, be a realist.",Negative
MSN.be where you will find the latest and greatest news. On Facebook: https://t.co/eZ8RIM8ETI,Positive
"A People that succumbs to Tyrants, Loses more than just life and limb, The lights will go out.",Positive
"Writer, designer, teacher, lecturer, LCHF, HIIT, translator and interpretor, genetics, population genetics, ""professor"" in common sense and logical thinking",Negative
Preserving our traditions,Neutral
Preserving our traditions,Neutral
"Director Fine Home | Live to live. Today, tomorrow and the day after tomorrow | Comfortable, affordable and future proof",Positive
"FREE as a SPIRIT, FLY as a BIRD",Positive
hedonist | always excited | just stems from the fifties | Everyone is entitled to my opinion | BBQ |  | Retweet once =,Positive
hedonist | always excited | just stems from the fifties | Everyone is entitled to my opinion | BBQ |  | Retweet once =,Positive
,Neutral
"I am a Reiki / NLP Practitioner, Magnetizer & Voice Healer (Hollow Bone) and like to help you with your healing process. You can contact me for a remote healing.",Negative
"Journalist and writer, including the book ""Rita Reys: Lady Jazz"" and ""Ado Broodboom trumpet"". And lifelong social democrat.",Negative
,Neutral
,Neutral
Linac Engineer Interested in nature and technology. Preferably a combination of the two.,Positive
,Neutral
,Neutral
"Comedian, filmmaker, former Brabo, family & guitarman, left-handed and rechtsbenig.",Neutral
,Neutral
,Neutral
"News from @gemwaarschoot a place in the region Meetjesland, East Flanders, part of the municipality @gemlievegem",Neutral
"Greatest enlightment Tricky Tricky Illuminati ,, Mind Crafter, Good and Evil Inc., Advocatus Diaboli. j.starkowski.acc@gmail.com.",Positive
father | husband | Entrepreneur DGA @DrieoIct | Youth Chairman @rksv_rhode | economy | Politics | football | golf,Neutral
"MD, psychiatrist, systemic family psychotherapist.
Basic rule: ""There are no norms All people are exceptions to a rule That does not exist.."" (Fernando Pessoa)",Neutral
"Project Management Consultant specializing in procurement, Prince2, RUP, Agile, Program Management, Business Case Management, Stakeholder Management",Positive
"🚜 PVV👍 - FVD 👍 - AFD👍- TRUMP👍 - SALVINI👍 - Tommy Robinson👍
Orban👍- 🚫 EU 🔚🔜 🚜
#jesuisblanc
Now on Parler @olddutchbastard",Neutral
#blank'm not #wit,Neutral
Dutch white proud #PVV #ForBritain #AfD #FN #VB #Trump #Israel #nowhiteguilt #StopKalergi #StopPlaasmoorde #StopWhiteGenocide #NoMoreRapefugees #WipeOutIslam,Positive
⚖️ | feel free to ask https://t.co/nFxZdcaXBW | jualanku👉🏼👈🏼 https://t.co/hMch1dOcGq,Positive
✈ Commercial Pilot | 🎓 Bachelor of Civil Engineering (Traffic Engineering) |,Neutral
Director VvAA - tweets personal capacity,Neutral
Director VvAA - tweets personal capacity,Neutral
Black Lives Matter. Inclusivity and intersectionality. No one is free until we are all free.,Positive
Black Lives Matter. Inclusivity and intersectionality. No one is free until we are all free.,Positive
publisher nonfiction @vrijdagboeken | publisher @DoorbraakBe | bookie | historian | globetrotter | tweets personal capacity | anonymous = no debate!,Neutral
reserve account,Neutral
reserve account,Neutral
🎙Presentator & Chairperson 🎓Trainer & coach Convincing 🇳🇱 Communications Specialist & Politics 🇮🇹 Italy-Maker Podcast 🎧,Positive
,Neutral
,Neutral
Critical!,Neutral
"Dancer, sports instructor, mime player, artist",Neutral
"Dancer, sports instructor, mime player, artist",Neutral
PvdA party leader / GL Peel en Maas. Historian. Teacher Fontys. Reader. Editors on piano and accordion. Habbekrats theater director.,Neutral
"Dommel to Rotterdam - football as it was - no fronts, no tricks no soap box politics no guns just blunts we kick this just for fun",Positive
,Neutral
Quick News for headhunters and commuters. News collected through RSS feeds. Follow back.,Positive
"Innovator, serial enterpreneur, Co-founder D-sign, Fintech Consult, Goes for Banking, Mobile, Pension, Micropayments, Climate, LoRaWan, former Rabobank",Neutral
🚜🚜🚜🚜🚜,Neutral
🚜🚜🚜🚜🚜,Neutral
Nicaragüense. Quejumbrosa misándrica mal-cogida feminista con dad issues. ¿Qué me PODES decir que no haya dicho ya? Feminista ≠ obligación Serenity pedagoga,Neutral
HCQ is the synthetic form of Kinini officially before there were ever medicijen they drank tea and cinchona just simply for sale.,Neutral
"I have a password. But I also have an opinion, and I entered three times on my phone. And now I also lost my PUK code.",Neutral
Fin.medewerker benefit admin. Gem.Leeuwarden Technical Trainer youth VV Drachten. Development players to creative players because those are too few!,Positive
"ANTI bioindustry # - # EU - # Islam.
Time for #Nexit!",Neutral
"ANTI bioindustry # - # EU - # Islam.
Time for #Nexit!",Neutral
temperamental || Hyper Parties || Justify || Rotterdam in Brabant || No longer hopeful || (Self) Sure || Damage and Shame || music ||,Positive
temperamental || Hyper Parties || Justify || Rotterdam in Brabant || No longer hopeful || (Self) Sure || Damage and Shame || music ||,Positive
Defender of the voiceless .. Join the revolution. Founder & CEO at AmsterdamLab® wade@amsterdamlab.online,Neutral
Live and let live. 🖤,Positive
Live and let live. 🖤,Positive
"About toddlers, preschoolers and children.
Read all about kids and education on your 'toddler'!",Neutral
The Dutch top 100 trending topics on Twitter. A useful overview of the latest trends and the talk of the day.,Positive
"Lawyer, former lawyer, children's (youth) criminal law, lawyers can and must change, safe working environment, (mental) health care",Negative
"Amsterdam❌❌❌
Says no to the Emergency Act which the self-determination of citizens will take away.",Neutral
Women on Wings AIMS to co-create 1 million jobs for women in rural India by supporting entrepreneurs with business knowledge,Positive
"event & e-marketing coordinator @UNIZOLimburg, likes skiing and kayaking, Casper & Bo's dad - https://t.co/yJSB1OR41e",Neutral
"💋😘💖All you need is justice! 💕😊💋
https://t.co/lvEKCfPbbf...",Neutral
"💋😘💖All you need is justice! 💕😊💋
https://t.co/lvEKCfPbbf...",Neutral
Professor Digital Mathematics @VUBrussel - Passionate about math behind digital data science - Specialist digital forensics and security - Scicomm Adept,Positive
Official Twitter Account of Dalfsen. We respond whenever possible. Questions or other information call: 14 0529 or email: communicatie@dalfsen.nl,Negative
economist and world citizen,Neutral
,Neutral
,Neutral
,Neutral
"#Nationalist Fier & Loyal. #Realist
Strongly against deliberate Islamization and degradation of our culture, prosperity, identity and sovereignty by EU policies left!",Positive
"#Nationalist Fier & Loyal. #Realist
Strongly against deliberate Islamization and degradation of our culture, prosperity, identity and sovereignty by EU policies left!",Positive
"Goddess of Spring, hacker, mother of three, gypsy-dancer, feminist, CREW-RIPE and Green Anarchist-wannabe. Opinions: colorful && my own // https://t.co/JCHUDvvb4X",Positive
"Goddess of Spring, hacker, mother of three, gypsy-dancer, feminist, CREW-RIPE and Green Anarchist-wannabe. Opinions: colorful && my own // https://t.co/JCHUDvvb4X",Positive
,Neutral
Twitter Ethicist Laureate.,Neutral
Last time I took a vaccine was anti-tetanus shot after an adder bit me and anaphylactic shock nearly killed me. I intend it to be my very last vaccine. #HCQworks!,Negative
"The Garden Gnome Bonsai and Gaming, Gaming and Politics ... weird? No! 🤪 SA government is public enemy # 1. Top 20% Brawhalla Player- Mirage main Lvl87",Positive
"#Atheist # F * CK the EU FransT. SigridK. Robj. JesseK. HugodeJ. #klimaatgekkies are stupid #
#MinderMinder
# CO2 for life 🌳🌳
# I ♥ ️Stikstof
#pro Zwarte Piet #",Positive
"Drunken nonsense! Beer lover! Is Tom TomTom #Bruggeling in Antwerp. #Inked, Tope me @ Jesske3003 Has its own street and sometimes get on the wrong bus",Positive
Nationalist until death we must regain Netherlands otherwise it is lost for our children and kleinkindere,Neutral
Nationalist until death we must regain Netherlands otherwise it is lost for our children and kleinkindere,Neutral
Everyone is someone's neighbor.,Neutral
"Democracy, Astrology, Music, Economics, Basic Income, Nature, Green Innovations
Netherlands, Greece, India, Africa, World🌍",Negative
🏳️🌈 || 27 || 🏠 Arnhem || #Broeder ❤ in psychogeriatrics || Start your day with coffee ☕ ||,Neutral
22 y / o french southafrican with big opinions 🥀IG: Dana Miami moreau 🥀,Neutral
I am that ben.Fier in Flanders.,Neutral
Medical Orthotist & Prosthetist,Neutral
"https://t.co/gm9Qsv9xAE & Parler @FreeVoice Wood Trader. Fact Checker Oak Specialist. Tilburg NL
Believe it when i see it! Critical Thinker. Skeptic. English & Dutch
17",Neutral
"😷Blank-nietwit- 🛑nee 🙅 I read not only MSM 🛑 🗨️ja, I'm pro-politie😇 Anti RIVM 🤚 🛑End endo💛 Justice4MH17 🌻",Neutral
"Anarchistisch Liberal transverse thinking, pressurized bloed.Geloof in Grimm sprookjes.🇬🇷🚜🇮🇱inter arma enim silent leges.Tweets reflect my analysis and mine alone.",Neutral
Born and raised in the Netherlands.,Neutral
,Neutral
,Neutral
"08/12/20 to municipal Lingewaard. Chaired vvTrekvogels, secretary of Heumen, Nijmegen alderman and member PS Gelderland. NEC. 4 day.",Neutral
"God, family, country. #MAGA # KAG2020 #Israel #farmmurders. Retweets / likes do not equal endorsement",Neutral
Humor innocent until sarcasm always link with reality. Never offensive intended.,Positive
Operational Expert local policeman Dordrecht Center. Territorial Police. Joint statement Safety Care.,Negative
laboratory | education | biology | Microbiology,Neutral
laboratory | education | biology | Microbiology,Neutral
European Union's Agency for Law Enforcement Cooperation.,Neutral
"Feel free to ask | May offend, but is not entitled | Zen is a way",Positive
"Feel free to ask | May offend, but is not entitled | Zen is a way",Positive
AfriForum sorg that your voice gemeenskap se hearing word in one samelewing where fewer Appealing increasing geïgnoreer word.,Positive
https://t.co/o8IEkyaIFa For tension in the slaapkamer👄. Today ordered before 17:00 the next day discreet bezorgd💝. #sexshoponline #vegan #piercings,Neutral
https://t.co/o8IEkyaIFa For tension in the slaapkamer👄. Today ordered before 17:00 the next day discreet bezorgd💝. #sexshoponline #vegan #piercings,Neutral
🇳🇱Dad x2 | sysadmin | https://t.co/He6AFgrHyG | MT09 Tracer | Wellant | MotoGP | 🚳⛽🏍️🚙,Neutral
The official Twitter channel of the municipality of Beverwijk. Follow us and stay up to date. For contact: https://t.co/Y90oPZmeKW,Neutral
"👋 Hi, this is my home on Twitter | Law student @OU_rechten | Tweets 🇳🇱 & 🇬🇧 | #HumanRights Advocate | Photography enthusiastic | DM open for conversation",Positive
"blogger, writer, publicist, TV viewer, proefballonvaarder, saintly (Dick Maas Version) funniest home, sometimes moody sometimes, just a man.",Neutral
"blogger, writer, publicist, TV viewer, proefballonvaarder, saintly (Dick Maas Version) funniest home, sometimes moody sometimes, just a man.",Neutral
Mother of Evan H & M Erik Frederick. Adoption by her is illegal. Never run back to what you broke. Destin. VPS SRQ. RSW. MIA National Airlines.,Negative
i'm a music loving woman !!,Positive
Safety region Gelderland-Zuid | Communication about major incidents and crises | risk | Also via: https://t.co/IHeuw5c68x,Positive
"Physicist turned bitcoin developer, frequent traveler, monetary anarchist, fascist pandemic.
PGP: 57FF9BDBCC301009",Positive
"Indian blood. IT specialist
Correctness is a lack of self-esteem.
#blanknietwit
#woordkunstenaar
#savethechildren
#detegenbeweg
Media = virus.",Neutral
"Indian blood. IT specialist
Correctness is a lack of self-esteem.
#blanknietwit
#woordkunstenaar
#savethechildren
#detegenbeweg
Media = virus.",Neutral
"Jurist (mr.). Owner Waterkoort Legal Services.
I retweet some nice, fun, interesting, is remarkable.
RT is not my personal opinion.",Positive
"Old teacher. Humour! Love people, honesty, animals-even the kleintjes- nature. Read. Do not like racists, fascists and opportunisten.💚",Positive
"Old teacher. Humour! Love people, honesty, animals-even the kleintjes- nature. Read. Do not like racists, fascists and opportunisten.💚",Positive
Bald | Hiker & Cyclist in 't Gooi | Commerce facility | Build custom PCs on request (and payment) | Hague to Bussum | 🏳🌈🐕⚽🏎🖥📷🖋,Neutral
Fair media - No Fake News | Anonymous - Until the time is right | Democracy by votes | Exit from Europe as it is now | Imigration only for Those Who need it |,Positive
"KNVB referee, steward Fortuna Sittard, Hanneman Tourist Taxi driver and father of our son Dayano Snapchat: maurice Waalboer",Neutral
Watcher club FC Groningen @OOGTV | Formula 1 | America | Lult even further. Two Parties in a personal capacity.,Neutral
★ уσυ'ℓℓ иєνєя ωαℓк αℓσиє ★,Neutral
★ уσυ'ℓℓ иєνєя ωαℓк αℓσиє ★,Neutral
"Caucasian woman against mass immigration / EU / climate hysteria. Rascal. Proud Boomer.
Netherlands must continue Netherlands.
#Qanon # WWG1WGA #VerenigdRechtsNL",Positive
Montferland municipality located in the province of Gelderland. Municipal green character and stands for vitality and individuality of its cores. T. 0316-291 391,Negative
Father Dayano Steward Fortuna Sittard Taxi driver Hanneman Tourist Referee KNVB,Neutral
Better red than dead - Veritas est libertas,Positive
Better red than dead - Veritas est libertas,Positive
"The wily find me stupid, the ignorant find me smart. The normals find me abnormal and abnormal find me ordinary. Rich find me poor, so ...... 🍺",Negative
Official Twitter Account of TUI. #DiscoverYourSmile,Neutral
,Neutral
,Neutral
,Neutral
,Neutral
THE FUTURE of us all -Daily use of a common sense to help these borgen-. Choose durable #ElkeDagvandeDuurzaamheid #EDvdD,Negative
THE FUTURE of us all -Daily use of a common sense to help these borgen-. Choose durable #ElkeDagvandeDuurzaamheid #EDvdD,Negative
"Social Sciences. Nature, rule of law. LL.M. Politics and Society integrity 😉 paraphrasing 2030 calendar watch 🆘",Positive
"gepension clerk / zelfst, married.
hobby / aromaterap. planten.mediteren
Buddhism",Positive
Opportunity Fund helps people look after the most vulnerable in our society so that no one gets left out. 💚,Neutral
"Project leader, project designer and management of coproductions in Culture, Education and Nature.",Neutral
"Project leader, project designer and management of coproductions in Culture, Education and Nature.",Neutral
Staff Nurse / communications @JeugdGezinGV | Editors @WeekWijdemeren @NieuwssterDe | alto @AmicitiaMuziek | secretariat @ A4Dkortenhoef,Neutral
"Spokesman / spokesperson
Personal authority @toezicht_AP",Neutral
"Dislikes Left cartel sheep eyes for fortune seekers, Islam and Brussels! Put it there with me! If not? Too bad!",Negative
"Think for yourself, otherwise others will - you only fail if you stop trying - addicted to honesty - finding the truth is my challenge - Everton supporter #EFC",Negative
"Think for yourself, otherwise others will - you only fail if you stop trying - addicted to honesty - finding the truth is my challenge - Everton supporter #EFC",Negative
"Motion graphics designer by day, by night animator. I try my best. I post stuff I make and I retweet a LOT. Very political and Dutch, sorry || ♠ ️💜💚 || she / her",Positive
"FEYENOORD.
Against mass immigration I'm an atheist and against any form of faith.
And as soon as possible to stop the climate nonsense ### Nexit.
I vote PVV.",Neutral
"The Bartiméus Fund is committed to people who are visually impaired or blind, so they can get out of life what's inside.",Negative
"union official, CNV professionals, 4daagse of Nijmegen, vitesse, africa, ireland, girlfriend, proud (law) mother oma❤️, daughter, sister",Positive
"union official, CNV professionals, 4daagse of Nijmegen, vitesse, africa, ireland, girlfriend, proud (law) mother oma❤️, daughter, sister",Positive
"me, myself and I",Neutral
PSN: Xverdernix,Neutral
,Neutral
,Neutral
https://t.co/Q6UlAvXWDC | interim | Leadership | communication | copywriting | DJ-ing | Mom Remi | Tommi & Mouse,Neutral
"hmmm ... look around, retweet, tweet and follow common sense 😷😷😷",Negative
"hmmm ... look around, retweet, tweet and follow common sense 😷😷😷",Negative
This is the official twitter account of the municipality of Tholen.,Neutral
"🏎 I like my people how I like my women. ~ She / her ~
Diversity in Politics Master student ~ @ housewivesf1",Neutral
"🏎 I like my people how I like my women. ~ She / her ~
Diversity in Politics Master student ~ @ housewivesf1",Neutral
"The official account of the works from the Netherlands, one of the largest security companies in the world .....",Neutral
,Neutral
i'm a liar bath with a complex savior,Negative
i'm a liar bath with a complex savior,Negative
lawyer | Twinkle Magazine columnist | VVD | married | 2 children,Positive
lawyer | Twinkle Magazine columnist | VVD | married | 2 children,Positive
Almost 40. Mother Boys (September '10 and October '13). Lawful wife. I think after yourself so no fan of religion or political party.,Neutral
"Nurse, operating with frail elderly people at home. Provides supportive structuring contact + do what is necessary. @Odensehuis @Familysupports. Amsterdam.",Positive
"Nurse, operating with frail elderly people at home. Provides supportive structuring contact + do what is necessary. @Odensehuis @Familysupports. Amsterdam.",Positive
Single,Negative
,Neutral
,Neutral
,Neutral
"18 🇳🇱.
Reading, writing, music, eating, sleeping, breathing.
Co-creator name or exoplanet Nightwatch + star starry night.
Journalism, CHE.",Neutral
"Digitally Yours,
Love is in the air
#CordonSanitaire
https://t.co/zg60orLK2S
Think Global, Act Local
1EKosaxXLv1E1F7S3dqX5QqPur98Xn4Nqb",Positive
,Neutral
,Neutral
"Fleming in ❤️en kidneys 📚worm, epicurean No fans left, Green, MSM & everything Belgo-French is. N-VA chairman Kraainem W & O. Send in your own name.",Positive
NBTC | The Weldaad Authentic Interior | Hospitality | Music | Family | Friendship | Cycling | Speed ​​Skating | Hiking | Anthropology | traveling | Celebrating life,Positive
"ECOMODERNIST
'' Proud white supremacist ''
do not normal what is not normal",Positive
"ECOMODERNIST
'' Proud white supremacist ''
do not normal what is not normal",Positive
National Institute for Health and Environment. Webcare: 9: 00-17: 00 Questions about coronavirus? Call 0800-1351 (8: 00-20: 00) https://t.co/0SAaW9g6QT,Neutral
Digital soldier and keyboard warrior,Neutral
Digital soldier and keyboard warrior,Neutral
Wars are always about money and US is always Involved.,Neutral
Wars are always about money and US is always Involved.,Neutral
"✨ ""Yeah i remember when, we with, like it was yesterday in Amsterdam"" ✨ ♥ ️ ♥ ️ ♥ ️",Positive
Online editor @BNR | #podcast & #radio | # Cars | #Galicia & # España,Neutral
,Neutral
,Neutral
This is the official twitter account of Public Safety Central and West Brabant.,Neutral
"The latest football news of the NIS, with live updates from the Eredivisie, the Dutch national team, the Champions League and Europa League.",Positive
"CSO CarbExplore BV https://t.co/8IoRT28pWm
em Professor of Microbiology, University of Groningen https://t.co/ct7sKsJ5EI
Knight in the Order of the Dutch Lion in 2008",Neutral
We are the University of Groningen (Groningen University); an open community since 1614. Academic Tweets ENG & EN. Study information: study@rug.nl # UG2020 #RUG,Neutral
Searching for the real news outside of MSM,Positive
Searching for the real news outside of MSM,Positive
Quick News for headhunters and commuters. News collected through RSS feeds. Follow back.,Positive
"If you impose dictatorship'm not saying that this is still democracy, you shut my mouth shut with surgical masks and required me to vaccinate with a virus",Neutral
"VIP & ELF & Prima Donna,
 
Hyukoh, 10 cm, Jannabi, Car the garden,
Shinee, Nu'est, Blockboa
 
Exo, N.Flying, Imfact, MonstaX, Ikon, Vixx Zico and Ravi",Neutral
"112 News from Haarlemmermeer ee
Police - Fire - Ambulance - Trooper - Life Liner - Assistance
Follow also: @ 112ML -",Neutral
Culture worker at heart. I twitter only in a personal capacity,Neutral
Culture worker at heart. I twitter only in a personal capacity,Neutral
"Private investor, independent",Neutral
The latest news from your street,Positive
Bits of Freedom stands up for your internet freedom. Follow our newsletter for news and tips https://t.co/LxsIx88kGP,Neutral
"Interested in History Archeology Science Nature. Making a living as a researcher, photographer and storyteller. Anonymous since 03/20. Mother of a daughter.",Positive
"Jurist (mr.). Owner Waterkoort Legal Services.
I retweet some nice, fun, interesting, is remarkable.
RT is not my personal opinion.",Positive
"The blacker souls, how am I whiten! Proud to not be hiding my agenda behind skin color!",Positive
"The blacker souls, how am I whiten! Proud to not be hiding my agenda behind skin color!",Positive
,Neutral
,Neutral
"Gritty and bIauw \ .... I will be king and you, you will be my queen - though nothing, nothing will keep us together - we can be heroes, just for one day.",Neutral
HSP. Dutch. Pastafarian. Music. Opinions. Pictures. Brainfarts. Poetry. 1986. Cannasseur. StreetArt. Gamer. Xbox1. Baron the (my) cat. 3cats in the house.,Neutral
🍿,Neutral
🍿,Neutral
"Research Collective SPIT (@oc_spit), De Groene Amsterdammer, Netherlands Fri, Quote. Journalist of the Year (2017). Foundling Price (2017). Golden Bird (2019).",Positive
"Research Collective SPIT (@oc_spit), De Groene Amsterdammer, Netherlands Fri, Quote. Journalist of the Year (2017). Foundling Price (2017). Golden Bird (2019).",Positive
"If I want to hear bleating, I'll buy a goat. So spare me your leftist bullshit
And in your conspiracy theories, I'm not always interested",Positive
"i love all sports car but must F1 Red Bull Racing, Toro Rosso, Max Verstappen 😉😉😉 #RedBullFamily",Positive
1. solicited and unsolicited advice to the council. 2. broad interests in the area. 3. (co-) organizing activities in the district.,Positive
"SME accountant, tax adviser. Unburden SME entrepreneur. Estate planner and executor Register. Unburdening relatives. Diving and epicurean.",Neutral
"Treats selfless maniac is not always painless.
Was editor Mega Vagina, the nicest cunt petal Netherlands.",Neutral
"Treats selfless maniac is not always painless.
Was editor Mega Vagina, the nicest cunt petal Netherlands.",Neutral
"Ask yourself every day, the next question ...
What I liked most of vandaag❓ 😊🙌💕",Positive
"Ask yourself every day, the next question ...
What I liked most of vandaag❓ 😊🙌💕",Positive
Internet measurer; CAIDA and RIPE NCC. i like old computers and IPv6 deployment.,Positive
"Go Ahead Eagles, Achterhoek bus driver, two great sons Chris and Nick and twitters personal capacity and sometimes cynical",Positive
"#TheGreatAwakening, #SaveOurChlidren, #SaveOurChildrenWorldWide, #Dutch",Neutral
"#TheGreatAwakening, #SaveOurChlidren, #SaveOurChildrenWorldWide, #Dutch",Neutral
,Neutral
No neutral ground in a burning world,Neutral
No neutral ground in a burning world,Neutral
"Age44
Likes = fun
no thunder dome bit hard techno de2vrouwen whom I smoorverliefdwas / -I am more rave
#IkGaHetNietOverCoronaHebbenIsZiekteOpZich",Positive
"The municipality Halderberge is located in West-Brabant and consists of the villages Bosschenhoofd Hoeven, Hoeven, Oud Gastel and Stampersgat.",Neutral
"Lobbyist for good ideas. I'am interested in the influence of the food industry on public health policy and research.
Questioning Public Private Partnership",Positive
Improving working conditions in the global garment industry,Neutral
Improving working conditions in the global garment industry,Neutral
"Wife, loves politics, music, animals, nature and sports enthusiast. Allergic to whiners.",Neutral
"Wife, loves politics, music, animals, nature and sports enthusiast. Allergic to whiners.",Neutral
"Zorgplein North researches, advises and connects.",Neutral
"Axis Global Head of Strategy and Risk of the Berry Commodities have global energy, oil, gas, commodities and geopolitics on mind. Disruptive thinker.",Neutral
"Lawyer. Councilor Planning, Enforcement BWT / Environment, Education, Cultural heritage, Schiphol Development Company. Deputy Chairman Board of Trustees Driestar College.",Positive
,Neutral
,Neutral
"Fascinated by philosophy and politics | America, conservative, Republican",Neutral
"Life never ceases to amaze me! I am a dreamer and a doer! I love writing, singing, reading and dancing! https://t.co/AylTlUNOQH",Positive
"Life never ceases to amaze me! I am a dreamer and a doer! I love writing, singing, reading and dancing! https://t.co/AylTlUNOQH",Positive
"This is the official twitter account of the municipality Dantumadiel. Ask? call 0519-298888, mail info@dantumadiel.frl or WhatsApp to 06 1208 3046.",Neutral
"Chinese in Belgium, mum, engineer",Neutral
,Neutral
"Do not follow me, I'm lost too. Technically inept and clumsy. Do make patent blunders. Trust me, I'm a liar.",Negative
Independent science journalist and presenter. Also in English. For rent. Joined: @ZijSpreekt @VWN @GoedeDagVzitter @DagvoorzitterNL,Neutral
Independent science journalist and presenter. Also in English. For rent. Joined: @ZijSpreekt @VWN @GoedeDagVzitter @DagvoorzitterNL,Neutral
Eat pray love,Positive
Eat pray love,Positive
"Hans van Put Auditor's / Civil Affairs Expert, BRP specialist, data and Privacy Officer and Senior Advisor at Van Well Consultancy.",Neutral
,Neutral
,Neutral
"Zorgplein North researches, advises and connects.",Neutral
"Writer, journalist from home, cynic, lover of fine arts from the 19th century, recipient of gastronomy, TV shows, movies, books.",Positive
"Writer, journalist from home, cynic, lover of fine arts from the 19th century, recipient of gastronomy, TV shows, movies, books.",Positive
,Neutral
"Vocalist / Consultant - Interested in: politics, sports, singing and expert on nonprofit organization buddies Netherlands Heals.",Positive
"Vocalist / Consultant - Interested in: politics, sports, singing and expert on nonprofit organization buddies Netherlands Heals.",Positive
,Neutral
"realist, anti-hypocrisy, agnostic, against religion, against (positive) discrimination.",Positive
"realist, anti-hypocrisy, agnostic, against religion, against (positive) discrimination.",Positive
"Doing nothing, nothing can.",Neutral
,Neutral
,Neutral
"reliable news
The future: the book https://t.co/IuSnPjkuEs
Word vague knowledge: https://t.co/vPSoBzrNnT
Android https://t.co/PSdWaNufKI
IOS: https://t.co/ZkG547MEDn",Negative
"https://t.co/yoetbpP7dA | Expedition leader for the evolution of companies, executives, managing directors and managers | Business Evolution Strategist | Walkynar ™",Neutral
"Likes: finance sailing libertarian Dutch freedom https://t.co/IaOOxlsYVt money
Loves @mrsvdf
Hates: statists #EU taxes waiting
Standard disclaimers applicable",Neutral
"The official Twitter account of Nunspeet, with news for residents, businesses and visitors.",Neutral
"nineteen, vijfentwintigjuni'18 🖤",Neutral
"#FBPE Director The Think Factory | Journalist | Filmmaker | Teacher | Arthistorian | editor @ 360nl, @VersPersNL | chief editor JordaanGoudenReael | was documentary maker @VPRO",Neutral
"MMA / firearms / patriot / I love facts! not NIS / Do not tread on me! / Allergic to cowards and parasites, you know who you !! r / Veteran /",Positive
"Open Source Infrastructure Coding, DevOps, SCM, CISSP, RHCE, RHCA II (non-current). ASML Software Engineering Infrastructure. PC4ED, Acorn BBC B BBQ. #include std_disclaimer.h",Neutral
"Math lover, dogs freak.",Neutral
"Retail / real estate / market / DGA https://t.co/nnraxXysKW, author / speaker, #WaaromStenenWinkelsWinnen, geographer, marathons, guitar / vocals, including blogs OpinieZ / Elsevier / Entrepreneur",Positive
Breikers helps employers in the Amsterdam region free and result-oriented in their transition to sustainable mobi leit.,Positive
Clarum Inter Germanos Frisium Norns. 🇳🇱 🇺🇸 🇮🇱,Neutral
Food Consultant & Health Coach / Technology Food & Health coach,Neutral
Food Consultant & Health Coach / Technology Food & Health coach,Neutral
